Date, Open, High, Low, Close
11/11/2014,17615.64,17638.21,17584.94,17614.9
11/10/2014,17568.98,17621.87,17547.51,17613.74
11/7/2014,17558.58,17575.33,17493.37,17573.93
11/6/2014,17491.66,17560.31,17440.35,17554.47
11/5/2014,17385.76,17486.59,17385.76,17484.53
11/4/2014,17368.81,17397.23,17278.36,17383.84
11/3/2014,17390.9,17410.65,17339.85,17366.24
10/31/2014,17208.78,17395.54,17208.78,17390.52
10/30/2014,16968.14,17223.96,16920.76,17195.42
10/29/2014,17005.07,17065.5,16895.38,16974.31
10/28/2014,16825.19,17006.45,16825.19,17005.75
10/27/2014,16796.1,16836.98,16729.83,16817.94
10/24/2014,16677.04,16811.71,16649.72,16805.41
10/23/2014,16468.07,16767.52,16468.07,16677.9
10/22/2014,16615.26,16653.89,16459.85,16461.32
10/21/2014,16406.03,16620.78,16405.77,16614.81
10/20/2014,16373.15,16401.63,16260.54,16399.67
10/17/2014,16118.39,16427.38,16118.39,16380.41
10/16/2014,16137.14,16211.12,15935.22,16117.24
10/15/2014,16313.3,16313.3,15855.12,16141.74
10/14/2014,16321.9,16463.67,16273.64,16315.19
10/13/2014,16535.43,16602.41,16310.47,16321.07
10/10/2014,16654.88,16757.6,16543.91,16544.1
10/9/2014,16989.37,16989.37,16649.04,16659.25
10/8/2014,16718.65,17006.91,16663.26,16994.22
10/7/2014,16988.25,16988.25,16715.79,16719.39
10/6/2014,17010.34,17099.39,16930.38,16991.91
10/3/2014,16802.2,17027.84,16802.2,17009.69
10/2/2014,16808.27,16857.25,16674.04,16801.05
10/1/2014,17040.46,17041.16,16776.13,16804.71
9/30/2014,17070.45,17145.1,17017.11,17042.9
9/29/2014,17107.69,17107.69,16934.43,17071.22
9/26/2014,16948.62,17148.15,16948.11,17113.15
9/25/2014,17204.86,17204.86,16945.8,16945.8
9/24/2014,17056.64,17226.6,17033.93,17210.06
9/23/2014,17165.91,17171.88,17055.87,17055.87
9/22/2014,17271.71,17277.88,17159.36,17172.68
9/19/2014,17267.21,17350.64,17257.46,17279.74
9/18/2014,17163.73,17275.37,17163.73,17265.99
9/17/2014,17131.01,17221.11,17089.01,17156.85
9/16/2014,17027.16,17167.05,16985.55,17131.97
9/15/2014,16988.76,17051.85,16951.38,17031.14
9/12/2014,17044.05,17044.05,16937.67,16987.51
9/11/2014,17057.41,17057.41,16983.88,17049
9/10/2014,17016.05,17080.27,16974.57,17068.71
9/9/2014,17110.39,17111.55,16993.29,17013.87
9/8/2014,17131.71,17137.88,17079.17,17111.42
9/5/2014,17065.89,17137.36,17009.62,17137.36
9/4/2014,17083.61,17161.55,17030.12,17069.58
9/3/2014,17067.24,17151.89,17060.21,17078.28
9/2/2014,17097.42,17113.51,17009.07,17067.56
8/29/2014,17083.42,17110.42,17035.38,17098.45
8/28/2014,17119.06,17119.06,17018.33,17079.57
